[2025-11-13 19:01:08] DEPRECATED: trim(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/hospitals.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\includes\\functions.php","line":289,"errno":8192}
[2025-11-13 19:01:21] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/search.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\search.php","line":120,"errno":8192}
[2025-11-13 19:01:26] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/doctor_profile.php?id=47 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\doctor_profile.php","line":163,"errno":8192}
[2025-11-13 19:01:34] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/search.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\search.php","line":120,"errno":8192}
[2025-11-13 19:11:05] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/patient/appointments.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\patient\\appointments.php","line":257,"errno":8192}
[2025-11-13 19:11:05] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/patient/appointments.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\patient\\appointments.php","line":257,"errno":8192}
[2025-11-13 19:11:10] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/search.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\search.php","line":120,"errno":8192}
[2025-11-13 19:11:16] WARNING: Undefined array key "type" | IP: ::1 | URI: /medical-app-test/hospitals.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\hospitals.php","line":12,"errno":2}
[2025-11-13 19:11:16] DEPRECATED: trim(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/hospitals.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\includes\\functions.php","line":289,"errno":8192}
[2025-11-13 19:12:39] DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | IP: ::1 | URI: /medical-app-test/patient/appointments.php | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | Context: {"file":"C:\\xampp\\htdocs\\medical-app-test\\patient\\appointments.php","line":257,"errno":8192}
